name,red,green,blue,alpha,id
void,0,0,0,255,0
wall,128,0,0,255,1
floor,0,128,0,255,2
cabinet,128,128,0,255,3
bed,0,0,128,255,4
chair,128,0,128,255,5
sofa,0,128,128,255,6
table,128,128,128,255,7
door,64,0,0,255,8
window,192,0,0,255,9
bookshelf,64,128,0,255,10
picture,192,128,0,255,11
counter,64,0,128,255,12
blinds,192,0,128,255,13
desk,64,128,128,255,14
shelves,192,128,128,255,15
curtain,0,64,0,255,16
dresser,128,64,0,255,17
pillow,0,192,0,255,18
mirror,128,192,0,255,19
floor mat,0,64,128,255,20
clothes,128,64,128,255,21
ceiling,0,192,128,255,22
books,128,192,128,255,23
refridgerator,64,64,0,255,24
television,192,64,0,255,25
paper,64,192,0,255,26
towel,192,192,0,255,27
shower curtain,64,64,128,255,28
box,192,64,128,255,29
whiteboard,64,192,128,255,30
person,192,192,128,255,31
night stand,0,0,64,255,32
toilet,128,0,64,255,33
sink,0,128,64,255,34
lamp,128,128,64,255,35
bathtub,0,0,192,255,36
bag,128,0,192,255,37
otherstructure,0,128,192,255,38
otherfurniture,128,128,192,255,39
otherprop,64,0,64,255,40
